lobby_institutionnel,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=xjsrqaP-sHQ,2023-02-15,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Pub TV - Les Produits Laitiers Manga - Y a quoi dans le lait ?
CNIEL,CNIEL,@lesproduitslaitiers | Marie,https://www.youtube.com/watch?v=ws3WGmINlIg,2022-12-12,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,LES JONES - BURGERS
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=ZlLjvG1voQU,2022-01-01,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"Les Produits Laitiers, Ensemble pour la vie"
CNIEL,CNIEL,@lesproduitslaitiers | La Laitiere,https://www.youtube.com/watch?v=8UOOO1uC-Ns,2021-06-01,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"La biodiversité, au cœur de la filière laitière"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=V2f-mjGFKUo,2021-03-03,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"Dis Jamy, il y a quoi dans les produits laitiers ?"
CNIEL,CNIEL,@lesproduitslaitiers | LAITFLIX,https://www.youtube.com/watch?v=RmM5kz-VVls,2021-03-01,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,DANS NOS ASSIETTES - BENJAMIN
CNIEL,CNIEL,@lesproduitslaitiers | LAITFLIX,https://www.youtube.com/watch?v=pRbQ4khqWSk,2021-03-01,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,DANS NOS ASSIETTES - TARA
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=nrV7gX2uWCM,2021-02-22,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,"Les vaches, ça pollue ?"
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=3vmnwH0WSMU,2020-09-08,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Et si on en parlait : Les jus végétaux
CNIEL,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=V8jvr6gfhyI,2020-09-08,,ancien,Produits Laitiers,YouTube,,,,description du createur,lien commercial soupconne,non,Milk Check : Consommer les produits laitiers après la date limite ?
