commanditaire,type_de_commanditaire,secteur,groupe_parent,vitrine,alias_observe,contenu_url,date_publication,nombre_de_vues,statut_collaboration,nom_influenceur,plateforme,alias_influenceur,nombre_abonnes,type_de_createur,nature_de_la_ligne,canal_de_detection,degre_de_certitude,verifie_par_humain,titre_du_contenu
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=BkFXFu1Bar8,2021-05-26,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Il a créé 1000 emplois dans sa région - Je découvre un atelier de découpe!
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=iUF2Duowqow,2021-05-25,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,J'achète des VACHES avec un COMMERÇANT en BESTIAUX!
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=HUJAmqKEuwk,2021-05-24,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Je vis la vie d'un ELEVEUR d'OVINS !
INTERBEV,interprofession,,,INTERBEV,@la_viande_fr | Made in Viande,https://www.youtube.com/watch?v=aEtOTdyWtqs,2021-05-23,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,Ce TAUREAU me fait FLIPPER ! J'aide un éleveur de BOVINS !
INAPORC,interprofession,,,INAPORC,Le Porc Francais,https://www.youtube.com/watch?v=UXC8PGoEULg,2018-10-25,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688"
INAPORC,interprofession,,,INAPORC,Le Porc Francais,https://www.youtube.com/watch?v=WCG8jN-i8ZQ,2018-05-18,,ancien,FlorianOnAir,YouTube,@FlorianOnAir,734K,createur de contenu,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=WBa8Ci2k77E,2021-09-19,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Sam’s, Jean-Pascal Zadi, Hakim Jemili & Friends #CheckFood"
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=NMDUL6oIP-A,2021-04-21,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"S.Pri Noir, Mister V, Still Fresh et le Chef Pincemin #CheckFood"
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers | Marie,https://www.youtube.com/watch?v=bLQ_UrBYgoA,2021-02-27,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Gazo, Tiakola, Landy & le BSB Gang #CheckFood​"
CNIEL,interprofession,,,CNIEL,@lesproduitslaitiers,https://www.youtube.com/watch?v=efkbEp9LzCk,2020-11-08,,ancien,Check,YouTube,,,,collaboration avec un tiers,description du createur,lien commercial soupconne,oui,"Medine, Youssoupha, Lino, Oxmo Puccino, Rémy et Pirate #CheckFood"
